CENSUS_STATE_ABBR,CENSUS_COUNTY_NAME,CENSUS_CBSA_NAME
OK,Beaver County,""
FL,Martin County,"Port St. Lucie, FL"
PA,Clearfield County,"DuBois, PA"
FL,Osceola County,"Orlando-Kissimmee-Sanford, FL"
MO,Cass County,"Kansas City, MO-KS"
GA,Oconee County,"Athens-Clarke County, GA"
MD,Harford County,"Baltimore-Columbia-Towson, MD"
NJ,Atlantic County,"Atlantic City-Hammonton, NJ"
WV,Raleigh County,"Beckley, WV"
VA,Buchanan County,""
LA,Calcasieu Parish,"Lake Charles, LA"
IA,Linn County,"Cedar Rapids, IA"
VA,Virginia Beach city,"Virginia Beach-Norfolk-Newport News, VA-NC"
SC,Williamsburg County,""
TX,Lee County,""
TX,Nacogdoches County,"Nacogdoches, TX"
MD,Carroll County,"Baltimore-Columbia-Towson, MD"
PA,Washington County,"Pittsburgh, PA"
TX,Shelby County,""
NV,Clark County,"Las Vegas-Henderson-Paradise, NV"
AL,Sumter County,""
NC,Carteret County,"Morehead City, NC"
OK,Seminole County,""
KY,Campbell County,"Cincinnati, OH-KY-IN"
MN,Rice County,"Faribault-Northfield, MN"
MD,Calvert County,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
MN,Anoka County,"Minneapolis-St. Paul-Bloomington, MN-WI"
CA,Fresno County,"Fresno, CA"
NC,Wayne County,"Goldsboro, NC"
WI,Brown County,"Green Bay, WI"
CA,San Luis Obispo County,"San Luis Obispo-Paso Robles, CA"
AL,Autauga County,"Montgomery, AL"
NC,Cherokee County,""
SC,Richland County,"Columbia, SC"
NC,Rockingham County,"Greensboro-High Point, NC"
SC,Edgefield County,"Augusta-Richmond County, GA-SC"
SC,Dillon County,""
AL,Lowndes County,"Montgomery, AL"
NC,Buncombe County,"Asheville, NC"
GA,Meriwether County,"Atlanta-Sandy Springs-Alpharetta, GA"
NJ,Ocean County,"New York-Newark-Jersey City, NY-NJ-PA"
TX,Walker County,"Huntsville, TX"
FL,Levy County,"Gainesville, FL"
WA,Okanogan County,""
IA,Grundy County,"Waterloo-Cedar Falls, IA"
TN,Rutherford County,"Nashville-Davidson--Murfreesboro--Franklin, TN"
AR,Faulkner County,"Little Rock-North Little Rock-Conway, AR"
NY,Chenango County,""
NY,Madison County,"Syracuse, NY"
NC,Union County,"Charlotte-Concord-Gastonia, NC-SC"
RI,Washington County,"Providence-Warwick, RI-MA"
IA,Madison County,"Des Moines-West Des Moines, IA"
VA,Bath County,""
KY,Bracken County,"Cincinnati, OH-KY-IN"
PA,Northampton County,"Allentown-Bethlehem-Easton, PA-NJ"
IL,Lee County,"Dixon, IL"
KY,Scott County,"Lexington-Fayette, KY"
WV,Harrison County,"Clarksburg, WV"
VA,Roanoke city,"Roanoke, VA"
GA,Dougherty County,"Albany, GA"
NV,Douglas County,"Gardnerville Ranchos, NV"
IN,Porter County,"Chicago-Naperville-Elgin, IL-IN-WI"
IA,Shelby County,""
VT,Bennington County,"Bennington, VT"
NY,Cortland County,"Cortland, NY"
MS,Lee County,"Tupelo, MS"
NY,Schuyler County,""
NC,Harnett County,"Fayetteville, NC"
LA,St. Landry Parish,"Opelousas, LA"
OH,Scioto County,"Portsmouth, OH"
WI,Ozaukee County,"Milwaukee-Waukesha, WI"
KS,Smith County,""
NM,Valencia County,"Albuquerque, NM"
WI,Walworth County,"Whitewater, WI"
PA,Cumberland County,"Harrisburg-Carlisle, PA"
KY,Boyd County,"Huntington-Ashland, WV-KY-OH"
ID,Blaine County,"Hailey, ID"
NC,Davidson County,"Winston-Salem, NC"
VA,Chesterfield County,"Richmond, VA"
SC,Georgetown County,"Georgetown, SC"
VA,Washington County,"Kingsport-Bristol, TN-VA"
DE,Kent County,"Dover, DE"
LA,Livingston Parish,"Baton Rouge, LA"
VA,James City County,"Virginia Beach-Norfolk-Newport News, VA-NC"
NY,Franklin County,"Malone, NY"
PA,Perry County,"Harrisburg-Carlisle, PA"
WY,Teton County,"Jackson, WY-ID"
NV,Washoe County,"Reno, NV"
WA,Kitsap County,"Bremerton-Silverdale-Port Orchard, WA"
AL,Cullman County,"Cullman, AL"
MN,Chisago County,"Minneapolis-St. Paul-Bloomington, MN-WI"
NY,St. Lawrence County,"Ogdensburg-Massena, NY"
CO,Arapahoe County,"Denver-Aurora-Lakewood, CO"
NY,Onondaga County,"Syracuse, NY"
TN,Wilson County,"Nashville-Davidson--Murfreesboro--Franklin, TN"
NY,Dutchess County,"Poughkeepsie-Newburgh-Middletown, NY"
MS,Lincoln County,"Brookhaven, MS"
WI,Dodge County,"Beaver Dam, WI"
TN,Rhea County,"Dayton, TN"
TX,Wilson County,"San Antonio-New Braunfels, TX"
TN,Montgomery County,"Clarksville, TN-KY"
GA,Pickens County,"Atlanta-Sandy Springs-Alpharetta, GA"
IN,Dubois County,"Jasper, IN"
WI,Racine County,"Racine, WI"
NV,Nye County,"Pahrump, NV"
TX,Fort Bend County,"Houston-The Woodlands-Sugar Land, TX"
PA,Berks County,"Reading, PA"
GA,Dawson County,"Atlanta-Sandy Springs-Alpharetta, GA"
TX,Freestone County,""
VT,Franklin County,"Burlington-South Burlington, VT"
MN,Brown County,"New Ulm, MN"
NY,Schenectady County,"Albany-Schenectady-Troy, NY"
AZ,Mohave County,"Lake Havasu City-Kingman, AZ"
SC,Berkeley County,"Charleston-North Charleston, SC"
NC,Burke County,"Hickory-Lenoir-Morganton, NC"
GA,Clayton County,"Atlanta-Sandy Springs-Alpharetta, GA"
FL,Hamilton County,""
NC,Johnston County,"Raleigh-Cary, NC"
AL,Tuscaloosa County,"Tuscaloosa, AL"
FL,Highlands County,"Sebring-Avon Park, FL"
NY,Columbia County,"Hudson, NY"
WA,Pierce County,"Seattle-Tacoma-Bellevue, WA"
OH,Clark County,"Springfield, OH"
MN,Douglas County,"Alexandria, MN"
MO,Cooper County,"Columbia, MO"
OH,Medina County,"Cleveland-Elyria, OH"
WA,Benton County,"Kennewick-Richland, WA"
MO,Clay County,"Kansas City, MO-KS"
SC,Spartanburg County,"Spartanburg, SC"
VT,Caledonia County,""
MS,DeSoto County,"Memphis, TN-MS-AR"
NY,Rensselaer County,"Albany-Schenectady-Troy, NY"
FL,Nassau County,"Jacksonville, FL"
FL,Pasco County,"Tampa-St. Petersburg-Clearwater, FL"
VT,Addison County,""
TX,Tom Green County,"San Angelo, TX"
NY,Broome County,"Binghamton, NY"
AZ,Cochise County,"Sierra Vista-Douglas, AZ"
VA,Spotsylvania County,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
LA,St. Tammany Parish,"New Orleans-Metairie, LA"
MO,St. Francois County,"Farmington, MO"
IL,Kendall County,"Chicago-Naperville-Elgin, IL-IN-WI"
WA,Snohomish County,"Seattle-Tacoma-Bellevue, WA"
AR,St. Francis County,"Forrest City, AR"
NE,Platte County,"Columbus, NE"
MO,Pulaski County,"Fort Leonard Wood, MO"
MT,Flathead County,"Kalispell, MT"
TX,Milam County,""
SD,Lincoln County,"Sioux Falls, SD"
MN,Waseca County,""
WI,Oneida County,""
LA,Tangipahoa Parish,"Hammond, LA"
NC,Camden County,"Virginia Beach-Norfolk-Newport News, VA-NC"
OH,Clermont County,"Cincinnati, OH-KY-IN"
TX,Caldwell County,"Austin-Round Rock-Georgetown, TX"
AL,Elmore County,"Montgomery, AL"
WA,Clark County,"Portland-Vancouver-Hillsboro, OR-WA"
AL,Dallas County,"Selma, AL"
NJ,Sussex County,"New York-Newark-Jersey City, NY-NJ-PA"
MA,Nantucket County,""
TN,Loudon County,"Knoxville, TN"
AZ,Yuma County,"Yuma, AZ"
AR,Lafayette County,""
GA,Banks County,""
OH,Wayne County,"Wooster, OH"
FL,Columbia County,"Lake City, FL"
MN,Otter Tail County,"Fergus Falls, MN"
OH,Geauga County,"Cleveland-Elyria, OH"
TX,Johnson County,"Dallas-Fort Worth-Arlington, TX"
MO,Boone County,"Columbia, MO"
ND,Walsh County,""
FL,Hernando County,"Tampa-St. Petersburg-Clearwater, FL"
KY,Christian County,"Clarksville, TN-KY"
TX,Kerr County,"Kerrville, TX"
IL,DeKalb County,"Chicago-Naperville-Elgin, IL-IN-WI"
MI,Gladwin County,""
NM,Lea County,"Hobbs, NM"
IL,Adams County,"Quincy, IL-MO"
TX,Collin County,"Dallas-Fort Worth-Arlington, TX"
CO,Douglas County,"Denver-Aurora-Lakewood, CO"
MD,Charles County,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
IL,Lawrence County,""
GA,Toombs County,"Vidalia, GA"
MS,Tate County,"Memphis, TN-MS-AR"
ID,Elmore County,"Mountain Home, ID"
TN,Carroll County,""
AK,Matanuska-Susitna Borough,"Anchorage, AK"
FL,Collier County,"Naples-Marco Island, FL"
PA,Somerset County,"Somerset, PA"
OK,Greer County,""
MO,Dunklin County,"Kennett, MO"
WA,Spokane County,"Spokane-Spokane Valley, WA"
NC,Richmond County,"Rockingham, NC"
AR,Saline County,"Little Rock-North Little Rock-Conway, AR"
VA,Mathews County,"Virginia Beach-Norfolk-Newport News, VA-NC"
IL,Macoupin County,"St. Louis, MO-IL"
VA,Prince Edward County,""
ID,Fremont County,"Rexburg, ID"
NY,Orleans County,"Rochester, NY"
SD,Minnehaha County,"Sioux Falls, SD"
MN,Clay County,"Fargo, ND-MN"
KY,Woodford County,"Lexington-Fayette, KY"
GA,Franklin County,""
WV,Monongalia County,"Morgantown, WV"
FL,Walton County,"Crestview-Fort Walton Beach-Destin, FL"
OK,Logan County,"Oklahoma City, OK"
MN,Olmsted County,"Rochester, MN"
MO,Jefferson County,"St. Louis, MO-IL"
NY,Chautauqua County,"Jamestown-Dunkirk-Fredonia, NY"
TX,Callahan County,"Abilene, TX"
NC,Rutherford County,"Forest City, NC"
GA,Spalding County,"Atlanta-Sandy Springs-Alpharetta, GA"
MO,Franklin County,"St. Louis, MO-IL"
MO,Dade County,""
TX,Atascosa County,"San Antonio-New Braunfels, TX"
OK,Cherokee County,"Tahlequah, OK"
NC,Jackson County,"Cullowhee, NC"
MI,Cass County,"South Bend-Mishawaka, IN-MI"
NC,Robeson County,"Lumberton, NC"
AR,Boone County,"Harrison, AR"
TX,Tyler County,""
IN,Bartholomew County,"Columbus, IN"
NC,Wilkes County,"North Wilkesboro, NC"
CA,San Joaquin County,"Stockton, CA"
ND,Cavalier County,""
LA,St. John the Baptist Parish,"New Orleans-Metairie, LA"
MN,Watonwan County,""
PA,Juniata County,""
FL,Sumter County,"The Villages, FL"
PA,Lebanon County,"Lebanon, PA"
VT,Orange County,"Lebanon, NH-VT"
SC,Sumter County,"Sumter, SC"
FL,Charlotte County,"Punta Gorda, FL"
AL,Marshall County,"Albertville, AL"
GA,Henry County,"Atlanta-Sandy Springs-Alpharetta, GA"
TN,Crockett County,"Jackson, TN"
TX,Rusk County,"Longview, TX"
NY,Sullivan County,""
CA,Madera County,"Madera, CA"
UT,San Juan County,""
WI,Chippewa County,"Eau Claire, WI"
MI,Sanilac County,""
WI,Washington County,"Milwaukee-Waukesha, WI"
KY,Monroe County,""
WA,Clallam County,"Port Angeles, WA"
PA,Blair County,"Altoona, PA"
GA,Burke County,"Augusta-Richmond County, GA-SC"
NY,Otsego County,"Oneonta, NY"
OH,Jefferson County,"Weirton-Steubenville, WV-OH"
VT,Orleans County,""
GA,Jasper County,"Atlanta-Sandy Springs-Alpharetta, GA"
GA,Whitfield County,"Dalton, GA"
NM,Sandoval County,"Albuquerque, NM"
MD,Allegany County,"Cumberland, MD-WV"
TX,Coryell County,"Killeen-Temple, TX"
OH,Tuscarawas County,"New Philadelphia-Dover, OH"
VA,Stafford County,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
PA,Forest County,""
IN,Ripley County,""
SC,Lexington County,"Columbia, SC"
SC,Florence County,"Florence, SC"
SC,Laurens County,"Greenville-Anderson, SC"
OR,Gilliam County,""
MI,Ottawa County,"Grand Rapids-Kentwood, MI"
MN,Redwood County,""
NC,Beaufort County,"Washington, NC"
ID,Owyhee County,"Boise City, ID"
AR,Polk County,""
GA,Habersham County,"Cornelia, GA"
CT,Lower Connecticut River Valley Planning Region,"Norwich-New London, CT"
NY,Putnam County,"New York-Newark-Jersey City, NY-NJ-PA"
NC,Dare County,"Kill Devil Hills, NC"
IN,Floyd County,"Louisville/Jefferson County, KY-IN"
VA,Chesapeake city,"Virginia Beach-Norfolk-Newport News, VA-NC"
NM,Otero County,"Alamogordo, NM"
VA,Rockbridge County,""
IN,LaPorte County,"Michigan City-La Porte, IN"
VA,Louisa County,""
SC,Dorchester County,"Charleston-North Charleston, SC"
TX,Fayette County,""
OR,Josephine County,"Grants Pass, OR"
OR,Clackamas County,"Portland-Vancouver-Hillsboro, OR-WA"
TX,Smith County,"Tyler, TX"
NC,Brunswick County,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
KS,Osage County,"Topeka, KS"
AK,Wrangell City and Borough,""
WI,Shawano County,"Shawano, WI"
MN,Lyon County,"Marshall, MN"
AL,Randolph County,""
MS,Madison County,"Jackson, MS"
CA,Placer County,"Sacramento-Roseville-Folsom, CA"
VA,King and Queen County,"Richmond, VA"
AZ,Navajo County,"Show Low, AZ"
SD,Brookings County,"Brookings, SD"
TN,Hamblen County,"Morristown, TN"
VA,Appomattox County,"Lynchburg, VA"
TX,Van Zandt County,""
OH,Wood County,"Toledo, OH"
UT,Tooele County,"Salt Lake City, UT"
ID,Nez Perce County,"Lewiston, ID-WA"
OH,Adams County,""
AR,Benton County,"Fayetteville-Springdale-Rogers, AR"
AL,Covington County,""
OR,Union County,"La Grande, OR"
OH,Fairfield County,"Columbus, OH"
WA,Lewis County,"Centralia, WA"
AL,Russell County,"Columbus, GA-AL"
PA,Bedford County,""
MI,Osceola County,""
FL,Holmes County,""
AK,Anchorage Municipality,"Anchorage, AK"
MO,Barry County,""
VA,Fauquier County,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
AL,Limestone County,"Huntsville, AL"
AL,St. Clair County,"Birmingham-Hoover, AL"
FL,Manatee County,"North Port-Sarasota-Bradenton, FL"
MS,Alcorn County,"Corinth, MS"
IL,Jackson County,"Carbondale-Marion, IL"
PA,Greene County,""
OH,Richland County,"Mansfield, OH"
SC,Horry County,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
SC,Aiken County,"Augusta-Richmond County, GA-SC"
WV,Wayne County,"Huntington-Ashland, WV-KY-OH"
PA,Lancaster County,"Lancaster, PA"
TN,Putnam County,"Cookeville, TN"
VA,Fredericksburg city,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
IN,Rush County,""
IA,Jasper County,"Des Moines-West Des Moines, IA"
OH,Van Wert County,"Van Wert, OH"
NC,Rowan County,"Charlotte-Concord-Gastonia, NC-SC"
PA,Indiana County,"Indiana, PA"
GA,Bartow County,"Atlanta-Sandy Springs-Alpharetta, GA"
TN,Hardin County,""
VA,Lexington city,""
TX,Harrison County,"Longview, TX"
TX,Newton County,""
NC,Gaston County,"Charlotte-Concord-Gastonia, NC-SC"
MO,Cape Girardeau County,"Cape Girardeau, MO-IL"
TX,San Patricio County,"Corpus Christi, TX"
WI,Columbia County,"Madison, WI"
MT,Big Horn County,""
KS,Montgomery County,"Coffeyville, KS"
FL,Hardee County,"Wauchula, FL"
MT,Musselshell County,""
TX,Randall County,"Amarillo, TX"
NM,Eddy County,"Carlsbad-Artesia, NM"
WV,Berkeley County,"Hagerstown-Martinsburg, MD-WV"
WI,Crawford County,""
IL,Kane County,"Chicago-Naperville-Elgin, IL-IN-WI"
AK,Kenai Peninsula Borough,""
PA,Westmoreland County,"Pittsburgh, PA"
OR,Washington County,"Portland-Vancouver-Hillsboro, OR-WA"
AR,Pope County,"Russellville, AR"
KY,Bourbon County,"Lexington-Fayette, KY"
MS,Lafayette County,"Oxford, MS"
MN,Dodge County,"Rochester, MN"
OK,Okfuskee County,""
OK,Noble County,""
IA,Woodbury County,"Sioux City, IA-NE-SD"
MD,Worcester County,"Salisbury, MD-DE"
LA,Assumption Parish,"Baton Rouge, LA"
GA,Camden County,"St. Marys, GA"
VA,Mecklenburg County,""
CO,Routt County,"Steamboat Springs, CO"
AL,Henry County,"Dothan, AL"
VA,Goochland County,"Richmond, VA"
MS,Jones County,"Laurel, MS"
PA,Potter County,""
VA,Caroline County,""
GA,Jones County,"Macon-Bibb County, GA"
WV,McDowell County,""
NC,Franklin County,"Raleigh-Cary, NC"
OH,Erie County,"Sandusky, OH"
VA,Radford city,"Blacksburg-Christiansburg, VA"
TX,Medina County,"San Antonio-New Braunfels, TX"
OK,Comanche County,"Lawton, OK"
MS,Calhoun County,""
CT,Western Connecticut Planning Region,"Torrington, CT"
MO,Shannon County,""
OH,Perry County,"Columbus, OH"
IL,Winnebago County,"Rockford, IL"
AR,White County,"Searcy, AR"
PA,Armstrong County,"Pittsburgh, PA"
TN,Hamilton County,"Chattanooga, TN-GA"
UT,Washington County,"St. George, UT"
MD,Cecil County,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
IL,McHenry County,"Chicago-Naperville-Elgin, IL-IN-WI"
NY,Jefferson County,"Watertown-Fort Drum, NY"
TX,Bee County,"Beeville, TX"
NM,Socorro County,""
KS,Barton County,"Great Bend, KS"
GA,Laurens County,"Dublin, GA"
OK,Washita County,""
IL,Morgan County,"Jacksonville, IL"
NM,Lincoln County,"Ruidoso, NM"
MI,Lake County,""
KY,Nelson County,"Bardstown, KY"
VA,Warren County,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
MO,Newton County,"Joplin, MO"
CO,Gunnison County,""
TX,Hays County,"Austin-Round Rock-Georgetown, TX"
WY,Laramie County,"Cheyenne, WY"
OH,Defiance County,"Defiance, OH"
IN,Switzerland County,""
OR,Umatilla County,"Hermiston-Pendleton, OR"
VA,Prince William County,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
GA,Houston County,"Warner Robins, GA"
TN,Robertson County,"Nashville-Davidson--Murfreesboro--Franklin, TN"
MD,Queen Anne's County,"Baltimore-Columbia-Towson, MD"
LA,Beauregard Parish,"DeRidder, LA"
GA,Monroe County,"Macon-Bibb County, GA"
AL,Shelby County,"Birmingham-Hoover, AL"
AR,Drew County,""
TN,Carter County,"Johnson City, TN"
TX,Lamb County,""
RI,Bristol County,"Providence-Warwick, RI-MA"
MA,Dukes County,"Vineyard Haven, MA"
LA,Lafayette Parish,"Lafayette, LA"
SD,Pennington County,"Rapid City, SD"
OR,Klamath County,"Klamath Falls, OR"
MO,Camden County,""
MO,St. Charles County,"St. Louis, MO-IL"
AL,Calhoun County,"Anniston-Oxford, AL"
IN,Hancock County,"Indianapolis-Carmel-Anderson, IN"
OK,Garfield County,"Enid, OK"
WA,Whatcom County,"Bellingham, WA"
WA,Mason County,"Shelton, WA"
MN,Fillmore County,"Rochester, MN"
NM,Torrance County,"Albuquerque, NM"
SD,Yankton County,"Yankton, SD"
PA,Cambria County,"Johnstown, PA"
GA,Haralson County,"Atlanta-Sandy Springs-Alpharetta, GA"
AR,Fulton County,""
MS,Pontotoc County,"Tupelo, MS"
MS,Marshall County,"Memphis, TN-MS-AR"
PA,Venango County,"Oil City, PA"
GA,Douglas County,"Atlanta-Sandy Springs-Alpharetta, GA"
AK,Fairbanks North Star Borough,"Fairbanks, AK"
MO,Lawrence County,""
OH,Trumbull County,"Youngstown-Warren-Boardman, OH-PA"
TX,Lamar County,"Paris, TX"
WA,Stevens County,"Spokane-Spokane Valley, WA"
IA,Van Buren County,""
CA,Mariposa County,""
GA,Coweta County,"Atlanta-Sandy Springs-Alpharetta, GA"
KY,Franklin County,"Frankfort, KY"
NY,Greene County,""
NV,Humboldt County,"Winnemucca, NV"
PA,Monroe County,"East Stroudsburg, PA"
PA,Butler County,"Pittsburgh, PA"
CA,Tulare County,"Visalia, CA"
OH,Putnam County,""
CO,Broomfield County,"Denver-Aurora-Lakewood, CO"
MI,Lapeer County,"Detroit-Warren-Dearborn, MI"
MO,St. Clair County,""
WA,Chelan County,"Wenatchee, WA"
KY,Kenton County,"Cincinnati, OH-KY-IN"
MO,Polk County,"Springfield, MO"
WI,Monroe County,""
NY,Tioga County,"Binghamton, NY"
WI,Ashland County,""
NY,Orange County,"Poughkeepsie-Newburgh-Middletown, NY"
MN,Pine County,""
NV,Carson City,"Carson City, NV"
WV,Logan County,"Mount Gay-Shamrock, WV"
AL,Chilton County,"Birmingham-Hoover, AL"
SC,Oconee County,"Seneca, SC"
NC,Cabarrus County,"Charlotte-Concord-Gastonia, NC-SC"
IN,Pike County,"Jasper, IN"
OK,Kay County,"Ponca City, OK"
IL,Franklin County,""
LA,Jefferson Davis Parish,"Jennings, LA"
WI,Washburn County,""
NC,Haywood County,"Asheville, NC"
NY,Essex County,""
WI,Marathon County,"Wausau-Weston, WI"
PA,Pike County,"New York-Newark-Jersey City, NY-NJ-PA"
IN,Tippecanoe County,"Lafayette-West Lafayette, IN"
OK,Adair County,""
WI,Iowa County,"Madison, WI"
WA,Whitman County,"Pullman, WA"
WI,Jefferson County,"Watertown-Fort Atkinson, WI"
AL,Escambia County,"Atmore, AL"
SC,Orangeburg County,"Orangeburg, SC"
KY,Pulaski County,"Somerset, KY"
MN,Kandiyohi County,"Willmar, MN"
PA,Union County,"Lewisburg, PA"
PA,Carbon County,"Allentown-Bethlehem-Easton, PA-NJ"
GA,Towns County,""
MN,Steele County,"Owatonna, MN"
TX,Polk County,""
NY,Steuben County,"Corning, NY"
LA,West Carroll Parish,""
VA,York County,"Virginia Beach-Norfolk-Newport News, VA-NC"
VA,New Kent County,"Richmond, VA"
ND,Kidder County,""
TX,Hardin County,"Beaumont-Port Arthur, TX"
TX,Washington County,"Brenham, TX"
KY,Clark County,"Lexington-Fayette, KY"
VA,Greene County,"Charlottesville, VA"
KS,Douglas County,"Lawrence, KS"
SC,Darlington County,"Florence, SC"
WV,Cabell County,"Huntington-Ashland, WV-KY-OH"
GA,Rockdale County,"Atlanta-Sandy Springs-Alpharetta, GA"
LA,Morehouse Parish,"Monroe, LA"
SC,Pickens County,"Greenville-Anderson, SC"
CA,Mono County,""
MI,Schoolcraft County,""
TN,Tipton County,"Memphis, TN-MS-AR"
IL,Will County,"Chicago-Naperville-Elgin, IL-IN-WI"
IA,Muscatine County,"Muscatine, IA"
CA,Humboldt County,"Eureka-Arcata, CA"
UT,Cache County,"Logan, UT-ID"
CA,Siskiyou County,""
GA,Tift County,"Tifton, GA"
MN,Itasca County,"Grand Rapids, MN"
AZ,Gila County,"Payson, AZ"
GA,Paulding County,"Atlanta-Sandy Springs-Alpharetta, GA"
AL,Blount County,"Birmingham-Hoover, AL"
WV,Lewis County,""
PA,Luzerne County,"Scranton--Wilkes-Barre, PA"
GA,Grady County,""
MT,Ravalli County,""
KY,Daviess County,"Owensboro, KY"
WI,Eau Claire County,"Eau Claire, WI"
OK,Johnston County,""
VA,Bedford County,"Lynchburg, VA"
KS,Crawford County,"Pittsburg, KS"
SC,Cherokee County,"Gaffney, SC"
MD,Garrett County,""
MO,Butler County,"Poplar Bluff, MO"
PA,Snyder County,"Selinsgrove, PA"
PA,Centre County,"State College, PA"
TX,Aransas County,"Rockport, TX"
MS,Smith County,""
GA,Screven County,""
UT,Summit County,"Heber, UT"
MI,Mason County,"Ludington, MI"
LA,Allen Parish,""
KS,Sumner County,"Wichita, KS"
MT,Missoula County,"Missoula, MT"
GA,Liberty County,"Hinesville, GA"
NC,Cumberland County,"Fayetteville, NC"
NC,Vance County,"Henderson, NC"
AR,Crittenden County,"Memphis, TN-MS-AR"
NM,Los Alamos County,"Los Alamos, NM"
IL,LaSalle County,"Ottawa, IL"
MS,Warren County,"Vicksburg, MS"
OH,Hocking County,"Columbus, OH"
NC,Columbus County,""
TX,Robertson County,"College Station-Bryan, TX"
WA,Grays Harbor County,"Aberdeen, WA"
WI,Marinette County,"Marinette, WI-MI"
IN,Morgan County,"Indianapolis-Carmel-Anderson, IN"
NY,Genesee County,"Batavia, NY"
OH,Knox County,"Mount Vernon, OH"
NY,Clinton County,"Plattsburgh, NY"
UT,Utah County,"Provo-Orem, UT"
PR,Carolina Municipio,"San Juan-Bayamón-Caguas, PR"
MI,Wexford County,"Cadillac, MI"
VA,Grayson County,""
GA,Wilkinson County,""
OH,Mercer County,"Celina, OH"
IA,Pottawattamie County,"Omaha-Council Bluffs, NE-IA"
LA,Catahoula Parish,""
KS,Leavenworth County,"Kansas City, MO-KS"
MS,Holmes County,"Jackson, MS"
MN,Sherburne County,"Minneapolis-St. Paul-Bloomington, MN-WI"
NY,Cattaraugus County,"Olean, NY"
GA,Baker County,""
FL,DeSoto County,"Arcadia, FL"
GA,McDuffie County,"Augusta-Richmond County, GA-SC"
MI,Baraga County,""
NC,Randolph County,"Greensboro-High Point, NC"
TX,Parker County,"Dallas-Fort Worth-Arlington, TX"
GA,Crawford County,"Macon-Bibb County, GA"
NY,Wayne County,"Rochester, NY"
IN,Clark County,"Louisville/Jefferson County, KY-IN"
AL,Pike County,"Troy, AL"
MO,Buchanan County,"St. Joseph, MO-KS"
CA,San Benito County,"San Jose-Sunnyvale-Santa Clara, CA"
CO,Summit County,"Breckenridge, CO"
FL,Wakulla County,"Tallahassee, FL"
IL,Coles County,"Charleston-Mattoon, IL"
MO,Ste. Genevieve County,""
GA,Berrien County,""
OH,Union County,"Columbus, OH"
CO,Hinsdale County,""
IL,Clay County,""
OK,McCurtain County,""
PR,Hatillo Municipio,"Arecibo, PR"
PA,Lackawanna County,"Scranton--Wilkes-Barre, PA"
TX,Bastrop County,"Austin-Round Rock-Georgetown, TX"
NC,Perquimans County,"Elizabeth City, NC"
VA,Pittsylvania County,"Danville, VA"
OH,Portage County,"Akron, OH"
MS,Pearl River County,"Picayune, MS"
IN,Johnson County,"Indianapolis-Carmel-Anderson, IN"
TN,Coffee County,"Tullahoma-Manchester, TN"
UT,Emery County,""
OR,Linn County,"Albany-Lebanon, OR"
GA,Baldwin County,"Milledgeville, GA"
MT,Cascade County,"Great Falls, MT"
ID,Boundary County,""
ID,Bonneville County,"Idaho Falls, ID"
UT,Morgan County,"Ogden-Clearfield, UT"
GA,Greene County,""
WI,Sauk County,"Baraboo, WI"
TX,Palo Pinto County,"Mineral Wells, TX"
MT,Carbon County,"Billings, MT"
TX,Yoakum County,""
TN,White County,""
CT,Naugatuck Valley Planning Region,"Torrington, CT"
TX,Eastland County,""
OH,Monroe County,""
OH,Pickaway County,"Columbus, OH"
MS,Rankin County,"Jackson, MS"
NC,Bertie County,""
OR,Clatsop County,"Astoria, OR"
NV,Churchill County,"Fallon, NV"
MS,Harrison County,"Gulfport-Biloxi, MS"
ND,Ramsey County,""
WY,Fremont County,"Riverton, WY"
AL,Wilcox County,""
KY,Leslie County,""
KY,Ohio County,""
OK,Haskell County,""
KY,Madison County,"Richmond-Berea, KY"
TX,Hutchinson County,"Borger, TX"
MO,Livingston County,""
SD,Bon Homme County,""
TN,Van Buren County,""
VA,Buckingham County,""
OR,Lane County,"Eugene-Springfield, OR"
LA,Ascension Parish,"Baton Rouge, LA"
OR,Jefferson County,""
MS,Bolivar County,"Cleveland, MS"
MN,Meeker County,""
TX,San Augustine County,""
MN,Houston County,"La Crosse-Onalaska, WI-MN"
MI,Allegan County,"Holland, MI"
NV,Lyon County,"Fernley, NV"
NC,Hoke County,"Fayetteville, NC"
NY,Lewis County,""
NC,Greene County,""
NC,Hertford County,""
IL,Marion County,"Centralia, IL"
PR,San Juan Municipio,"San Juan-Bayamón-Caguas, PR"
OH,Morrow County,"Columbus, OH"
TX,Gillespie County,"Fredericksburg, TX"
GA,Chattahoochee County,"Columbus, GA-AL"
PA,Adams County,"Gettysburg, PA"
NC,Stanly County,"Albemarle, NC"
GA,Lamar County,"Atlanta-Sandy Springs-Alpharetta, GA"
GA,Lowndes County,"Valdosta, GA"
